품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
치과용임플란트고정체,에이덴 주식회사,제허 21-2 호,20210104,제조,정상,1,비대상,,
치과용임플란트고정체,(주)원데이바이오텍,제허 20-1157 호,20201229,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 20-1149 호,20201224,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 20-1146 호,20201224,제조,정상,1,비대상,,
치과용임플란트고정체,(주)덴티스,제허 20-1117 호,20201221,제조,취소·취하,1,비대상,,2025-01-24
치과용 임플란트 고정체,(주)아름덴티스트리,제허 20-1052 호,20201207,제조,정상,1,비대상,,
치과용임플란트고정체,수바이오주식회사,제허 20-1047 호,20201204,제조,정상,1,비대상,,
치과용 임플란트 고정체,에스아이씨인벤트아시아퍼시픽(주),수허 20-241 호,20201118,수입,정상,1,비대상,CPM Precision GmbH,
치과용 임플란트 고정체,오스템임플란트(주),제허 20-889 호,20201015,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 20-890 호,20201015,제조,정상,1,비대상,,
치과용 임플란트 고정체,오스템임플란트(주),제허 20-891 호,20201015,제조,정상,1,비대상,,
치과용임플란트고정체,(주)태원테크,제허 20-661 호,20200814,제조,취소·취하,1,비대상,,2024-12-12
치과용임플란트고정체,(주)덴티움광교공장,제허 20-626 호,20200805,제조,정상,1,비대상,(주)덴티움광교공장,
치과용임플란트고정체,(주)제이제이메디컬,제허 20-604 호,20200728,제조,정상,1,비대상,,
치과용임플란트고정체,(주)스누콘,제허 20-545 호,20200706,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 20-451 호,20200605,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 20-450 호,20200605,제조,정상,1,비대상,,
치과용임플란트고정체,(주)메가젠임플란트,제허 20-449 호,20200605,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 20-439 호,20200603,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 20-421 호,20200529,제조,정상,1,비대상,,
치과용임플란트고정체,오스템임플란트(주),제허 20-412 호,20200529,제조,정상,1,비대상,,
